           x            y            z          sx          sy          sz          JH           t         Phi
   0.0000000    0.0000000    0.0000000  -0.0000050   0.0000050   1.0000000  -0.0400000  -1.0000000   0.0000000
  15.0000000    0.0000000    0.0000000  -0.0000220   0.0000240   1.0000000  -0.0400000  -1.0000000   0.0000000
  30.0000000    0.0000000    0.0000000  -0.0001110   0.0000840   1.0000000  -0.0400000  -1.0000000   0.0000000
  45.0000000    0.0000000    0.0000000  -0.0004590   0.0002020   1.0000000  -0.0400000  -1.0000000   0.0000000
  60.0000000    0.0000000    0.0000000  -0.0013700   0.0002270   0.9999990  -0.0400000  -1.0000000   0.0000000
  75.0000000    0.0000000    0.0000000  -0.0021230   0.0000000   0.9999980  -0.0400000  -1.0000000   0.0000000
  90.0000000    0.0000000    0.0000000  -0.0013710  -0.0002270   0.9999990  -0.0400000  -1.0000000   0.0000000
 105.0000000    0.0000000    0.0000000  -0.0004590  -0.0002020   1.0000000  -0.0400000  -1.0000000   0.0000000
 120.0000000    0.0000000    0.0000000  -0.0001110  -0.0000840   1.0000000  -0.0400000  -1.0000000   0.0000000
 135.0000000    0.0000000    0.0000000  -0.0000230  -0.0000240   1.0000000  -0.0400000  -1.0000000   0.0000000
 150.0000000    0.0000000    0.0000000  -0.0000050  -0.0000050   1.0000000  -0.0400000  -1.0000000   0.0000000
   0.0000000   15.0000000    0.0000000  -0.0000240   0.0000220   1.0000000  -0.0400000  -1.0000000   0.0000000
  15.0000000   15.0000000    0.0000000  -0.0001320   0.0001310   1.0000000  -0.0400000  -1.0000000   0.0000000
  30.0000000   15.0000000    0.0000000  -0.0007380   0.0005290   1.0000000  -0.0400000  -1.0000000   0.0000000
  45.0000000   15.0000000    0.0000000  -0.0035380   0.0015050   0.9999930  -0.0400000  -1.0000000   0.0000000
  60.0000000   15.0000000    0.0000000  -0.0122000   0.0018440   0.9999240  -0.0400000  -1.0000000   0.0000000
  75.0000000   15.0000000    0.0000000  -0.0198700   0.0000010   0.9998030  -0.0400000  -1.0000000   0.0000000
  90.0000000   15.0000000    0.0000000  -0.0122140  -0.0018430   0.9999240  -0.0400000  -1.0000000   0.0000000
 105.0000000   15.0000000    0.0000000  -0.0035430  -0.0015060   0.9999930  -0.0400000  -1.0000000   0.0000000
 120.0000000   15.0000000    0.0000000  -0.0007390  -0.0005300   1.0000000  -0.0400000  -1.0000000   0.0000000
 135.0000000   15.0000000    0.0000000  -0.0001320  -0.0001320   1.0000000  -0.0400000  -1.0000000   0.0000000
 150.0000000   15.0000000    0.0000000  -0.0000250  -0.0000230   1.0000000  -0.0400000  -1.0000000   0.0000000
   0.0000000   30.0000000    0.0000000  -0.0000840   0.0001110   1.0000000  -0.0400000  -1.0000000   0.0000000
